sdr_orig_rounded,mean,std,Dataset,Model,Duration,Metric
1.0,49327.77,10535.753817459916,Bird,Baseline,1.0,cycles
3.0,62732.3,8844.963624868817,Bird,Baseline,1.0,cycles
5.0,69485.0,7474.626468826706,Bird,Baseline,1.0,cycles
7.0,73518.62,7233.650657443955,Bird,Baseline,1.0,cycles
1.0,39564.36,6991.494879993097,Bird,Dynamic,1.0,cycles
3.0,49699.98,5448.421348566497,Bird,Dynamic,1.0,cycles
5.0,54479.45,5072.245296809896,Bird,Dynamic,1.0,cycles
7.0,57104.32,5368.005163179259,Bird,Dynamic,1.0,cycles
1.0,10622.28,2970.399507463498,Heart,Baseline,1.0,cycles
3.0,14020.05,3211.901763265603,Heart,Baseline,1.0,cycles
5.0,15450.92,2869.119404129342,Heart,Baseline,1.0,cycles
7.0,16240.94,2607.315376227262,Heart,Baseline,1.0,cycles
1.0,8454.18,1879.3197209994294,Heart,Dynamic,1.0,cycles
3.0,10892.58,1905.5807311232659,Heart,Dynamic,1.0,cycles
5.0,11816.48,1701.4029236741283,Heart,Dynamic,1.0,cycles
7.0,12310.41,1550.8297361754646,Heart,Dynamic,1.0,cycles
1.0,9397.45744680851,2621.459765974174,Lung,Baseline,1.0,cycles
3.0,12672.946808510638,4167.410209873188,Lung,Baseline,1.0,cycles
5.0,14252.606382978724,4672.781728259819,Lung,Baseline,1.0,cycles
7.0,15196.489361702128,5037.070638591957,Lung,Baseline,1.0,cycles
1.0,8214.095744680852,1946.464106428913,Lung,Dynamic,1.0,cycles
3.0,11010.106382978724,2988.068756201366,Lung,Dynamic,1.0,cycles
5.0,12271.04255319149,3382.648647012796,Lung,Dynamic,1.0,cycles
7.0,13004.287234042553,3648.261723722891,Lung,Dynamic,1.0,cycles
1.0,76459.3,17621.78282493837,Speech,Baseline,1.0,cycles
3.0,93246.8,18100.846347197374,Speech,Baseline,1.0,cycles
5.0,100968.32,17809.88012645756,Speech,Baseline,1.0,cycles
7.0,105380.17,17648.243296590637,Speech,Baseline,1.0,cycles
1.0,53100.71,11260.535537522992,Speech,Dynamic,1.0,cycles
3.0,64041.29,11493.452735524577,Speech,Dynamic,1.0,cycles
5.0,68981.99,11318.382846167744,Speech,Dynamic,1.0,cycles
7.0,71729.19,11217.815458929876,Speech,Dynamic,1.0,cycles
