sdr_orig_rounded,mean,std,Dataset,Model,Duration,Metric
1.0,2.7034655588049783,0.9864965669685659,Bird,Baseline,1.0,delta_sdr
3.0,6.054348275854062,3.031525669458132,Bird,Baseline,1.0,delta_sdr
5.0,6.622658521837187,3.4886287902826427,Bird,Baseline,1.0,delta_sdr
7.0,6.975230413831935,4.022544464647366,Bird,Baseline,1.0,delta_sdr
1.0,2.564699944414701,0.8827663990662952,Bird,Dynamic,1.0,delta_sdr
3.0,5.923458817749657,2.820536087830759,Bird,Dynamic,1.0,delta_sdr
5.0,6.680302369516612,3.549952938236372,Bird,Dynamic,1.0,delta_sdr
7.0,7.19482444141612,4.153719726598963,Bird,Dynamic,1.0,delta_sdr
1.0,3.130082547216393,1.0103277266134383,Heart,Baseline,1.0,delta_sdr
3.0,7.275710222368922,3.584253576969641,Heart,Baseline,1.0,delta_sdr
5.0,8.13857152461402,4.924570635350454,Heart,Baseline,1.0,delta_sdr
7.0,8.751819345319358,5.668733637042616,Heart,Baseline,1.0,delta_sdr
1.0,2.9807926523031356,0.9907645488509,Heart,Dynamic,1.0,delta_sdr
3.0,7.252454007671015,3.574792230006203,Heart,Dynamic,1.0,delta_sdr
5.0,8.191140383931991,4.803022515928371,Heart,Dynamic,1.0,delta_sdr
7.0,8.860739980203023,5.611146642527751,Heart,Dynamic,1.0,delta_sdr
1.0,3.25564223915209,1.0069739714894228,Lung,Baseline,1.0,delta_sdr
3.0,6.473789199071867,1.910180221222372,Lung,Baseline,1.0,delta_sdr
5.0,7.83293939511328,2.547344326305485,Lung,Baseline,1.0,delta_sdr
7.0,8.523155353768521,2.910891359737209,Lung,Baseline,1.0,delta_sdr
1.0,2.9494648876853113,1.0169612884156458,Lung,Dynamic,1.0,delta_sdr
3.0,6.2509110058467146,1.8952601935436748,Lung,Dynamic,1.0,delta_sdr
5.0,7.868239008713316,2.5478398409744725,Lung,Dynamic,1.0,delta_sdr
7.0,8.429554692355621,2.8500192408426686,Lung,Dynamic,1.0,delta_sdr
1.0,5.139169174095915,1.4765290527465356,Speech,Baseline,1.0,delta_sdr
3.0,7.50537745627025,2.0855358351179243,Speech,Baseline,1.0,delta_sdr
5.0,8.147858066469617,2.6541129945188024,Speech,Baseline,1.0,delta_sdr
7.0,8.511363457239675,3.11314460875689,Speech,Baseline,1.0,delta_sdr
1.0,4.911039451612069,1.386993835413858,Speech,Dynamic,1.0,delta_sdr
3.0,7.556028031837691,2.054785325086489,Speech,Dynamic,1.0,delta_sdr
5.0,8.211033316735291,2.570485148570471,Speech,Dynamic,1.0,delta_sdr
7.0,8.574414318048634,3.0474163460960626,Speech,Dynamic,1.0,delta_sdr
