sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,51175.8,10164.998379889586,Baseline,1.0,cycles
3.0,63447.25,9027.398289738798,Baseline,1.0,cycles
5.0,69884.4,7960.008651145789,Baseline,1.0,cycles
7.0,73847.25,8065.329045886539,Baseline,1.0,cycles
1.0,40938.75,6991.716993211174,Dynamic,1.0,cycles
3.0,50220.2,6054.258506469467,Dynamic,1.0,cycles
5.0,54689.85,5828.264797970592,Dynamic,1.0,cycles
7.0,57318.0,6281.464973278632,Dynamic,1.0,cycles
1.0,176.0,0.0,ML1,1.0,cycles
3.0,176.0,0.0,ML1,1.0,cycles
5.0,176.0,0.0,ML1,1.0,cycles
7.0,176.0,0.0,ML1,1.0,cycles
1.0,27006.3,4829.943522607583,ML2,1.0,cycles
3.0,33280.4,5032.3994946431085,ML2,1.0,cycles
5.0,36350.9,5429.387092481066,ML2,1.0,cycles
7.0,38052.65,5819.7769470279445,ML2,1.0,cycles
