sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,6.547111916542053,1.3324915026282886,Baseline,1.0,processing_time
3.0,8.172626161575318,1.3018834915183715,Baseline,1.0,processing_time
5.0,8.622538888454438,1.1519032898697228,Baseline,1.0,processing_time
7.0,8.917507982254028,1.121546065681927,Baseline,1.0,processing_time
1.0,7.012861406803131,1.1499955905924313,Dynamic,1.0,processing_time
3.0,8.550402760505676,1.176864639684793,Dynamic,1.0,processing_time
5.0,9.378227806091308,1.2825541360962232,Dynamic,1.0,processing_time
7.0,9.427749538421631,1.1069500469315674,Dynamic,1.0,processing_time
1.0,1.5052739024162292,0.17897760390093262,ML1,1.0,processing_time
3.0,1.500339901447296,0.12847171106968286,ML1,1.0,processing_time
5.0,1.4810345649719239,0.1291540568983748,ML1,1.0,processing_time
7.0,1.5627333283424378,0.17598616030425393,ML1,1.0,processing_time
1.0,6.660593628883362,1.2129255307475508,ML2,1.0,processing_time
3.0,7.152353429794312,0.9296851935634778,ML2,1.0,processing_time
5.0,7.835092997550964,1.2273441207371647,ML2,1.0,processing_time
7.0,7.880318677425384,0.9065563284802213,ML2,1.0,processing_time
