sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,10056.2,2086.9941517583807,Baseline,1.0,cycles
3.0,14052.3,2849.338576988665,Baseline,1.0,cycles
5.0,15631.3,2822.8661451943162,Baseline,1.0,cycles
7.0,16615.35,2388.8359260482803,Baseline,1.0,cycles
1.0,8132.8,1368.3314695373765,Dynamic,1.0,cycles
3.0,10995.6,1779.6644390978522,Dynamic,1.0,cycles
5.0,12026.85,1743.450760779655,Dynamic,1.0,cycles
7.0,12643.4,1489.1287244206717,Dynamic,1.0,cycles
1.0,19.0,0.0,ML1,1.0,cycles
3.0,19.0,0.0,ML1,1.0,cycles
5.0,19.0,0.0,ML1,1.0,cycles
7.0,19.0,0.0,ML1,1.0,cycles
1.0,7066.9,1515.1046133761472,ML2,1.0,cycles
3.0,9876.25,2064.158624948037,ML2,1.0,cycles
5.0,10979.65,2063.5799316262323,ML2,1.0,cycles
7.0,11687.9,1770.2922417083093,ML2,1.0,cycles
