sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,10056.2,2086.9941517583807,Baseline,1.0,cycles
3.0,14052.3,2849.338576988665,Baseline,1.0,cycles
5.0,15631.3,2822.8661451943162,Baseline,1.0,cycles
7.0,16615.35,2388.8359260482803,Baseline,1.0,cycles
1.0,8132.8,1368.3314695373765,Dynamic,1.0,cycles
3.0,10995.6,1779.6644390978522,Dynamic,1.0,cycles
5.0,12026.85,1743.450760779655,Dynamic,1.0,cycles
7.0,12643.4,1489.1287244206717,Dynamic,1.0,cycles
1.0,6996.7,1548.8043979657,ML2,1.0,cycles
3.0,9835.35,2097.1227977749345,ML2,1.0,cycles
5.0,10956.35,2059.0817134420818,ML2,1.0,cycles
7.0,11659.4,1772.434614635444,ML2,1.0,cycles
1.0,7413.8,1394.9953631313242,ML2_Cross,1.0,cycles
3.0,10352.9,1724.74568377028,ML2_Cross,1.0,cycles
5.0,11429.6,1746.4260467715505,ML2_Cross,1.0,cycles
7.0,12038.45,1543.7108904059385,ML2_Cross,1.0,cycles
