sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,3.338125902089295,1.6824626831355844,Baseline,1.0,delta_sdr
3.0,6.394533203804058,2.383873920504642,Baseline,1.0,delta_sdr
5.0,7.6973185536359034,2.342555049115387,Baseline,1.0,delta_sdr
7.0,8.009850463986204,2.793477235487918,Baseline,1.0,delta_sdr
1.0,2.91458845809127,1.5550441425422117,Dynamic,1.0,delta_sdr
3.0,6.058981498197175,2.1791010510539355,Dynamic,1.0,delta_sdr
5.0,7.716351249508001,1.832962413478974,Dynamic,1.0,delta_sdr
7.0,8.049087932939422,2.792377338258946,Dynamic,1.0,delta_sdr
1.0,2.6787068652934938,0.5934327700959257,ML1,1.0,delta_sdr
3.0,5.204008455124529,0.984503114535487,ML1,1.0,delta_sdr
5.0,6.532389523588151,1.2161187904445887,ML1,1.0,delta_sdr
7.0,7.11446409833063,1.5208751461002423,ML1,1.0,delta_sdr
1.0,3.194838986270785,1.2105227567221357,ML2,1.0,delta_sdr
3.0,6.327535995704862,2.117009982249302,ML2,1.0,delta_sdr
5.0,7.6567176555932335,1.87024094121892,ML2,1.0,delta_sdr
7.0,7.991503050584837,2.6446015680242176,ML2,1.0,delta_sdr
