sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,2.1270799511357357,0.49721545038965714,Baseline,1.0,processing_time
3.0,2.5333104886506734,0.7793286979364655,Baseline,1.0,processing_time
5.0,2.7652598305752405,0.8875298293860513,Baseline,1.0,processing_time
7.0,2.9370506562684713,0.95699414960204,Baseline,1.0,processing_time
1.0,1.9969276503512734,0.3763064383629017,Dynamic,1.0,processing_time
3.0,2.5630415364315637,0.665804336472042,Dynamic,1.0,processing_time
5.0,2.7771397766314054,0.7530269121995589,Dynamic,1.0,processing_time
7.0,2.872308241693597,0.8147080792489293,Dynamic,1.0,processing_time
1.0,0.7054433697148373,0.20473676968292895,ML1,1.0,processing_time
3.0,0.6872003580394545,0.06779626230290967,ML1,1.0,processing_time
5.0,0.7256413760938143,0.05450351849135874,ML1,1.0,processing_time
7.0,0.7668659812525699,0.06658939329132794,ML1,1.0,processing_time
1.0,2.4090952496779594,0.36267875925900944,ML2,1.0,processing_time
3.0,2.9077766820004114,0.6203763799054137,ML2,1.0,processing_time
5.0,2.884902263942518,0.6178331954746655,ML2,1.0,processing_time
7.0,2.9329942778537146,0.6771269585284567,ML2,1.0,processing_time
