Model,SDR_Input,Metric,Batch_16_Mean,Batch_16_Std,Batch_16_Count,Batch_32_Mean,Batch_32_Std,Batch_32_Count,Difference,Percentage_Change
ML1,1.0,delta_sdr,2.522567362721306,0.5736699345134679,1,2.6787068652934938,0.5934327700959257,1,0.1561395025721879,6.189705967009225
ML1,3.0,delta_sdr,4.907920773876775,1.011281733688706,1,5.204008455124529,0.984503114535487,1,0.2960876812477542,6.032853725425442
ML1,5.0,delta_sdr,6.334073751859132,1.0427732228593551,1,6.532389523588151,1.2161187904445887,1,0.1983157717290185,3.130935626867468
ML1,7.0,delta_sdr,6.916853399765529,2.134100026080206,1,7.11446409833063,1.5208751461002423,1,0.19761069856510094,2.856945017394754
ML1,1.0,cycles,35.0,0.0,1,35.0,0.0,1,0.0,0.0
ML1,3.0,cycles,35.0,0.0,1,35.0,0.0,1,0.0,0.0
ML1,5.0,cycles,35.0,0.0,1,35.0,0.0,1,0.0,0.0
ML1,7.0,cycles,35.0,0.0,1,35.0,0.0,1,0.0,0.0
ML1,1.0,processing_time,0.6852375080710963,0.1629293670878846,1,0.7054433697148373,0.2047367696829289,1,0.020205861643741052,2.9487384163513433
ML1,3.0,processing_time,0.6728572845458984,0.0497255866204957,1,0.6872003580394545,0.0677962623029096,1,0.014343073493556013,2.131666524683008
ML1,5.0,processing_time,0.6990337999243486,0.0505599577310094,1,0.7256413760938143,0.0545035184913587,1,0.02660757616946574,3.8063361417352475
ML1,7.0,processing_time,0.6954128616734555,0.0664486090561043,1,0.7668659812525699,0.0665893932913279,1,0.07145311957911438,10.274920628756872
