sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,272003.4,28199.515816765368,Baseline,4.0,cycles
3.0,350924.8,33616.7506713543,Baseline,4.0,cycles
5.0,391794.4,33786.741531257496,Baseline,4.0,cycles
7.0,416045.0,34203.32386625604,Baseline,4.0,cycles
1.0,192952.4,19368.41368827091,Dynamic,4.0,cycles
3.0,245056.4,22005.872677537693,Dynamic,4.0,cycles
5.0,271706.8,21694.172309631915,Dynamic,4.0,cycles
7.0,286929.4,21035.801025870165,Dynamic,4.0,cycles
1.0,253.0,0.0,ML1,4.0,cycles
3.0,253.0,0.0,ML1,4.0,cycles
5.0,253.0,0.0,ML1,4.0,cycles
7.0,253.0,0.0,ML1,4.0,cycles
1.0,122815.0,16630.887258351555,ML2,4.0,cycles
3.0,155990.2,18714.07398724286,ML2,4.0,cycles
5.0,172405.6,19725.335518059,ML2,4.0,cycles
7.0,181746.4,20365.56250880392,ML2,4.0,cycles
