sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,0.2252436637878418,0.0910678163236787,Baseline,4.0,delta_pesq
3.0,0.8306463718414306,0.3174453424269671,Baseline,4.0,delta_pesq
5.0,1.3757470369338989,0.3198708490115165,Baseline,4.0,delta_pesq
7.0,1.8061157941818238,0.23161400630691256,Baseline,4.0,delta_pesq
1.0,0.2286997079849243,0.08765382968814076,Dynamic,4.0,delta_pesq
3.0,0.8408311605453491,0.3167975584507747,Dynamic,4.0,delta_pesq
5.0,1.3989257097244263,0.33361799108768425,Dynamic,4.0,delta_pesq
7.0,1.8300406217575074,0.24332313323827381,Dynamic,4.0,delta_pesq
1.0,0.48545188903808595,0.21188392853502322,ML1,4.0,delta_pesq
3.0,0.6221435070037842,0.23931725808052362,ML1,4.0,delta_pesq
5.0,0.6947423696517945,0.20176121550056073,ML1,4.0,delta_pesq
7.0,0.7578928232192994,0.22539543503183537,ML1,4.0,delta_pesq
1.0,0.2935340881347656,0.08501439881946751,ML2,4.0,delta_pesq
3.0,0.8865875482559205,0.29515761743513524,ML2,4.0,delta_pesq
5.0,1.4101310014724733,0.376602951151389,ML2,4.0,delta_pesq
7.0,1.846979308128357,0.33046334060711025,ML2,4.0,delta_pesq
