sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,5.237529141773038,1.424566055774596,Baseline,4.0,delta_sdr
3.0,7.423692779750067,1.6600734219264472,Baseline,4.0,delta_sdr
5.0,8.189689423062514,2.1395745291641677,Baseline,4.0,delta_sdr
7.0,8.264641924657894,2.2557738558465443,Baseline,4.0,delta_sdr
1.0,4.851029334309718,1.2661302838228299,Dynamic,4.0,delta_sdr
3.0,7.661256176285716,1.8011332421350137,Dynamic,4.0,delta_sdr
5.0,8.399171975999197,2.083031253680092,Dynamic,4.0,delta_sdr
7.0,8.339355714630866,2.122615977153302,Dynamic,4.0,delta_sdr
1.0,4.554232564807956,1.220748032612794,ML1,4.0,delta_sdr
3.0,6.313446547376808,1.3074255590150978,ML1,4.0,delta_sdr
5.0,6.565661972045708,1.2852939708049502,ML1,4.0,delta_sdr
7.0,6.538523815835765,1.4121786034528387,ML1,4.0,delta_sdr
1.0,5.014994896573944,1.2909542037046842,ML2,4.0,delta_sdr
3.0,7.494172059845705,1.6467999617603193,ML2,4.0,delta_sdr
5.0,8.308072280080964,1.768977258410234,ML2,4.0,delta_sdr
7.0,8.577801402398773,1.9531990314012617,ML2,4.0,delta_sdr
