sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,70.35383572578431,8.281637457482054,Baseline,4.0,processing_time
3.0,85.53550410270691,9.058810556217132,Baseline,4.0,processing_time
5.0,93.3892753124237,11.545873578874053,Baseline,4.0,processing_time
7.0,98.38445615768433,8.93005836028563,Baseline,4.0,processing_time
1.0,61.011640787124634,7.593024135715963,Dynamic,4.0,processing_time
3.0,75.72301244735718,9.578426114448376,Dynamic,4.0,processing_time
5.0,80.68189859390259,7.177773596185551,Dynamic,4.0,processing_time
7.0,86.6760717868805,5.786843100528592,Dynamic,4.0,processing_time
1.0,4.693498134613037,0.3708385496205444,ML1,4.0,processing_time
3.0,4.347069644927979,0.10680070142673462,ML1,4.0,processing_time
5.0,4.519490814208984,0.3334659833665587,ML1,4.0,processing_time
7.0,4.100609254837036,0.27127617716862484,ML1,4.0,processing_time
1.0,39.44906392097473,6.215235684823375,ML2,4.0,processing_time
3.0,48.53676857948304,6.522581762516674,ML2,4.0,processing_time
5.0,52.710461902618405,6.253173651815109,ML2,4.0,processing_time
7.0,54.22608547210693,6.391845749854283,ML2,4.0,processing_time
