sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,0.2696989893913269,0.21050176976283905,Baseline,1.0,delta_pesq
3.0,0.921390974521637,0.46715480049366653,Baseline,1.0,delta_pesq
5.0,1.4500507533550262,0.5610311530970112,Baseline,1.0,delta_pesq
7.0,1.6303900718688964,0.5888688581658146,Baseline,1.0,delta_pesq
1.0,0.2352419912815094,0.17776610658518177,Dynamic,1.0,delta_pesq
3.0,0.9521703362464905,0.4702158844876307,Dynamic,1.0,delta_pesq
5.0,1.4865950405597688,0.5895952676429247,Dynamic,1.0,delta_pesq
7.0,1.6681758165359497,0.5691950324567919,Dynamic,1.0,delta_pesq
1.0,0.582211148738861,0.2719827848612665,U-Net(FAA),1.0,delta_pesq
3.0,0.7554790794849395,0.3286845559484603,U-Net(FAA),1.0,delta_pesq
5.0,0.8035739183425903,0.28335423863675196,U-Net(FAA),1.0,delta_pesq
7.0,0.8006656646728516,0.3070900753063351,U-Net(FAA),1.0,delta_pesq
1.0,0.3313195526599884,0.1513584481709363,NeuraDyne,1.0,delta_pesq
3.0,1.0391961932182312,0.331818490143294,NeuraDyne,1.0,delta_pesq
5.0,1.5571559309959413,0.3333112086931053,NeuraDyne,1.0,delta_pesq
7.0,1.788449078798294,0.32647641239969005,NeuraDyne,1.0,delta_pesq
