sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,5.373375484947609,1.4481972337358708,Baseline,1.0,delta_sdr
3.0,7.612538142222941,1.6722372407075563,Baseline,1.0,delta_sdr
5.0,8.519846732359659,2.1868631003352443,Baseline,1.0,delta_sdr
7.0,8.755882271354597,2.9351457967113634,Baseline,1.0,delta_sdr
1.0,5.089147704875264,1.2719338072222508,Dynamic,1.0,delta_sdr
3.0,7.748881376911316,1.7833825493189426,Dynamic,1.0,delta_sdr
5.0,8.699898307129118,2.1402772924906106,Dynamic,1.0,delta_sdr
7.0,8.967024401028212,2.871397824993887,Dynamic,1.0,delta_sdr
1.0,4.521763578640537,1.0316619153298558,U-Net(FAA),1.0,delta_sdr
3.0,5.964904483661712,1.1755002452615588,U-Net(FAA),1.0,delta_sdr
5.0,6.057867690744727,1.2834426075038998,U-Net(FAA),1.0,delta_sdr
7.0,5.961785789281972,1.3460774711254615,U-Net(FAA),1.0,delta_sdr
1.0,5.076110764911972,1.1073451801419671,NeuraDyne,1.0,delta_sdr
3.0,7.867806685396703,1.4377910169290127,NeuraDyne,1.0,delta_sdr
5.0,8.879290401911806,1.673244688698745,NeuraDyne,1.0,delta_sdr
7.0,9.281670557399078,1.8603798488272947,NeuraDyne,1.0,delta_sdr
