sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,266941.3,42132.99464053021,Baseline,4.0,cycles
3.0,356474.85,47907.16570648849,Baseline,4.0,cycles
5.0,398786.15,48212.76636816283,Baseline,4.0,cycles
7.0,421614.9,47484.0380015942,Baseline,4.0,cycles
1.0,189799.45,27091.114700842605,Dynamic,4.0,cycles
3.0,248905.3,30305.12554372697,Dynamic,4.0,cycles
5.0,276064.1,30273.261420634964,Dynamic,4.0,cycles
7.0,290067.35,29395.415011752393,Dynamic,4.0,cycles
1.0,253.0,0.0,ML1,4.0,cycles
3.0,253.0,0.0,ML1,4.0,cycles
5.0,253.0,0.0,ML1,4.0,cycles
7.0,253.0,0.0,ML1,4.0,cycles
1.0,123049.3,18972.33720335728,ML2,4.0,cycles
3.0,161581.75,22041.080649491043,ML2,4.0,cycles
5.0,178608.4,22751.11015544655,ML2,4.0,cycles
7.0,187191.9,22843.348019200595,ML2,4.0,cycles
