sdr_orig_rounded,mean,std,Model,Duration,Metric
1.0,0.2633427679538727,0.12401223316173422,Baseline,4.0,delta_pesq
3.0,0.9851011633872986,0.4058928081654333,Baseline,4.0,delta_pesq
5.0,1.673897635936737,0.427467950361035,Baseline,4.0,delta_pesq
7.0,1.9903755009174346,0.31152366309351887,Baseline,4.0,delta_pesq
1.0,0.2689492881298065,0.1114120032760246,Dynamic,4.0,delta_pesq
3.0,0.9772037446498871,0.40984296736398934,Dynamic,4.0,delta_pesq
5.0,1.6682356476783753,0.44544885816335444,Dynamic,4.0,delta_pesq
7.0,1.9793178260326385,0.35481283714428336,Dynamic,4.0,delta_pesq
1.0,0.4390709102153778,0.15402655692926942,ML1,4.0,delta_pesq
3.0,0.6005492210388184,0.21502673308555892,ML1,4.0,delta_pesq
5.0,0.7257453203201294,0.1820218126038306,ML1,4.0,delta_pesq
7.0,0.8243991672992707,0.16633976488264418,ML1,4.0,delta_pesq
1.0,0.3011854350566864,0.12156500785098542,ML2,4.0,delta_pesq
3.0,1.0771842002868652,0.3427505043070908,ML2,4.0,delta_pesq
5.0,1.7338887929916382,0.36742923908946634,ML2,4.0,delta_pesq
7.0,1.9739473760128021,0.3689109937330271,ML2,4.0,delta_pesq
