metric,fold,Model,sdr_orig,mean,std,Duration,Metric
delta_pesq,fold_1,Baseline,1.000000,0.283813,0.163341,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,3.000000,0.997860,0.413654,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,5.000000,1.567910,0.377818,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,7.000000,1.808844,0.290807,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,1.000000,0.271395,0.151575,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,3.000000,1.006603,0.421731,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,5.000000,1.567122,0.414635,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,7.000000,1.821047,0.271411,4.000000,delta_pesq
delta_pesq,fold_1,ML1,1.000000,0.515213,0.155702,4.000000,delta_pesq
delta_pesq,fold_1,ML1,3.000000,0.696658,0.197742,4.000000,delta_pesq
delta_pesq,fold_1,ML1,5.000000,0.810317,0.211118,4.000000,delta_pesq
delta_pesq,fold_1,ML1,7.000000,0.854946,0.195825,4.000000,delta_pesq
delta_pesq,fold_1,ML2,1.000000,0.333810,0.178277,4.000000,delta_pesq
delta_pesq,fold_1,ML2,3.000000,1.091059,0.396028,4.000000,delta_pesq
delta_pesq,fold_1,ML2,5.000000,1.628530,0.332272,4.000000,delta_pesq
delta_pesq,fold_1,ML2,7.000000,1.797121,0.280952,4.000000,delta_pesq
cycles,fold_1,Baseline,1.000000,267326.500000,36300.448476,4.000000,cycles
cycles,fold_1,Baseline,3.000000,351991.800000,39143.364002,4.000000,cycles
cycles,fold_1,Baseline,5.000000,392010.250000,37219.564135,4.000000,cycles
cycles,fold_1,Baseline,7.000000,414996.900000,35802.218283,4.000000,cycles
cycles,fold_1,Dynamic,1.000000,189877.500000,23030.722708,4.000000,cycles
cycles,fold_1,Dynamic,3.000000,245881.200000,24730.988185,4.000000,cycles
cycles,fold_1,Dynamic,5.000000,271389.650000,23566.741278,4.000000,cycles
cycles,fold_1,Dynamic,7.000000,285769.300000,22610.061014,4.000000,cycles
cycles,fold_1,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML2,1.000000,121224.050000,17179.621509,4.000000,cycles
cycles,fold_1,ML2,3.000000,157590.350000,18798.530212,4.000000,cycles
cycles,fold_1,ML2,5.000000,173748.150000,18307.790221,4.000000,cycles
cycles,fold_1,ML2,7.000000,182590.800000,17993.800917,4.000000,cycles
delta_sdr,fold_1,Baseline,1.000000,5.182579,1.181771,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,3.000000,7.278782,1.289047,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,5.000000,7.829944,1.735828,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,7.000000,8.188928,2.042855,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,1.000000,4.939786,1.078563,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,3.000000,7.349469,1.217226,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,5.000000,7.846936,1.753392,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,7.000000,8.340783,2.018524,4.000000,delta_sdr
delta_sdr,fold_1,ML1,1.000000,4.292017,0.882087,4.000000,delta_sdr
delta_sdr,fold_1,ML1,3.000000,6.215443,1.098477,4.000000,delta_sdr
delta_sdr,fold_1,ML1,5.000000,6.359494,1.053287,4.000000,delta_sdr
delta_sdr,fold_1,ML1,7.000000,6.262742,0.999645,4.000000,delta_sdr
delta_sdr,fold_1,ML2,1.000000,4.921373,0.938661,4.000000,delta_sdr
delta_sdr,fold_1,ML2,3.000000,7.855913,1.346120,4.000000,delta_sdr
delta_sdr,fold_1,ML2,5.000000,8.555032,1.671072,4.000000,delta_sdr
delta_sdr,fold_1,ML2,7.000000,9.007478,1.787517,4.000000,delta_sdr
processing_time,fold_1,Baseline,1.000000,72.033910,10.086362,4.000000,processing_time
processing_time,fold_1,Baseline,3.000000,92.093380,11.148226,4.000000,processing_time
processing_time,fold_1,Baseline,5.000000,97.201291,9.841709,4.000000,processing_time
processing_time,fold_1,Baseline,7.000000,98.130775,8.912623,4.000000,processing_time
processing_time,fold_1,Dynamic,1.000000,55.000638,7.041581,4.000000,processing_time
processing_time,fold_1,Dynamic,3.000000,70.359906,8.107068,4.000000,processing_time
processing_time,fold_1,Dynamic,5.000000,76.902471,7.593153,4.000000,processing_time
processing_time,fold_1,Dynamic,7.000000,93.205547,13.498754,4.000000,processing_time
processing_time,fold_1,ML1,1.000000,2.004164,0.187725,4.000000,processing_time
processing_time,fold_1,ML1,3.000000,1.902666,0.092090,4.000000,processing_time
processing_time,fold_1,ML1,5.000000,1.937096,0.143906,4.000000,processing_time
processing_time,fold_1,ML1,7.000000,2.019270,0.205362,4.000000,processing_time
processing_time,fold_1,ML2,1.000000,36.825444,5.140854,4.000000,processing_time
processing_time,fold_1,ML2,3.000000,47.012571,5.863025,4.000000,processing_time
processing_time,fold_1,ML2,5.000000,52.090276,6.209529,4.000000,processing_time
processing_time,fold_1,ML2,7.000000,52.928752,5.393805,4.000000,processing_time
delta_pesq,fold_2,Baseline,1.000000,0.220717,0.098317,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,3.000000,0.862095,0.294714,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,5.000000,1.460589,0.346741,4.000000,delta_pesq
delta_pesq,fold_2,Baseline,7.000000,1.770075,0.408677,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,1.000000,0.220817,0.105686,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,3.000000,0.916261,0.306603,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,5.000000,1.473416,0.324391,4.000000,delta_pesq
delta_pesq,fold_2,Dynamic,7.000000,1.789566,0.393135,4.000000,delta_pesq
delta_pesq,fold_2,ML1,1.000000,0.480167,0.190238,4.000000,delta_pesq
delta_pesq,fold_2,ML1,3.000000,0.664904,0.285362,4.000000,delta_pesq
delta_pesq,fold_2,ML1,5.000000,0.754975,0.212160,4.000000,delta_pesq
delta_pesq,fold_2,ML1,7.000000,0.797438,0.244684,4.000000,delta_pesq
delta_pesq,fold_2,ML2,1.000000,0.275013,0.132666,4.000000,delta_pesq
delta_pesq,fold_2,ML2,3.000000,0.971938,0.278690,4.000000,delta_pesq
delta_pesq,fold_2,ML2,5.000000,1.507990,0.307321,4.000000,delta_pesq
delta_pesq,fold_2,ML2,7.000000,1.796623,0.370516,4.000000,delta_pesq
cycles,fold_2,Baseline,1.000000,266941.300000,42132.994641,4.000000,cycles
cycles,fold_2,Baseline,3.000000,356474.850000,47907.165706,4.000000,cycles
cycles,fold_2,Baseline,5.000000,398786.150000,48212.766368,4.000000,cycles
cycles,fold_2,Baseline,7.000000,421614.900000,47484.038002,4.000000,cycles
cycles,fold_2,Dynamic,1.000000,189799.450000,27091.114701,4.000000,cycles
cycles,fold_2,Dynamic,3.000000,248905.300000,30305.125544,4.000000,cycles
cycles,fold_2,Dynamic,5.000000,276064.100000,30273.261421,4.000000,cycles
cycles,fold_2,Dynamic,7.000000,290067.350000,29395.415012,4.000000,cycles
cycles,fold_2,ML1,1.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,3.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,5.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML1,7.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_2,ML2,1.000000,123049.300000,18972.337203,4.000000,cycles
cycles,fold_2,ML2,3.000000,161581.750000,22041.080649,4.000000,cycles
cycles,fold_2,ML2,5.000000,178608.400000,22751.110155,4.000000,cycles
cycles,fold_2,ML2,7.000000,187191.900000,22843.348019,4.000000,cycles
delta_sdr,fold_2,Baseline,1.000000,4.819719,1.144456,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,3.000000,6.942048,1.505072,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,5.000000,7.346425,1.938979,4.000000,delta_sdr
delta_sdr,fold_2,Baseline,7.000000,7.454922,2.232128,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,1.000000,4.605204,1.025336,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,3.000000,7.059901,1.538791,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,5.000000,7.473415,1.907283,4.000000,delta_sdr
delta_sdr,fold_2,Dynamic,7.000000,7.634465,2.119405,4.000000,delta_sdr
delta_sdr,fold_2,ML1,1.000000,3.974561,0.867323,4.000000,delta_sdr
delta_sdr,fold_2,ML1,3.000000,5.723179,1.109046,4.000000,delta_sdr
delta_sdr,fold_2,ML1,5.000000,5.916590,1.150393,4.000000,delta_sdr
delta_sdr,fold_2,ML1,7.000000,5.828347,1.091387,4.000000,delta_sdr
delta_sdr,fold_2,ML2,1.000000,4.602240,0.957052,4.000000,delta_sdr
delta_sdr,fold_2,ML2,3.000000,7.366003,1.614726,4.000000,delta_sdr
delta_sdr,fold_2,ML2,5.000000,8.004435,1.917832,4.000000,delta_sdr
delta_sdr,fold_2,ML2,7.000000,8.295915,2.136466,4.000000,delta_sdr
processing_time,fold_2,Baseline,1.000000,66.131645,10.893573,4.000000,processing_time
processing_time,fold_2,Baseline,3.000000,87.938275,12.411141,4.000000,processing_time
processing_time,fold_2,Baseline,5.000000,95.649471,12.273694,4.000000,processing_time
processing_time,fold_2,Baseline,7.000000,100.042703,12.132697,4.000000,processing_time
processing_time,fold_2,Dynamic,1.000000,55.980104,8.462602,4.000000,processing_time
processing_time,fold_2,Dynamic,3.000000,70.622166,9.222247,4.000000,processing_time
