metric,model,sdr_orig,mean,std
delta_sdr,Baseline,1.000000,5.043402,0.425327
delta_sdr,Baseline,3.000000,7.373769,0.434983
delta_sdr,Baseline,5.000000,8.022982,0.521794
delta_sdr,Baseline,7.000000,8.382966,0.699755
delta_sdr,Dynamic,1.000000,4.794245,0.357543
delta_sdr,Dynamic,3.000000,7.446425,0.458066
delta_sdr,Dynamic,5.000000,8.105901,0.529100
delta_sdr,Dynamic,7.000000,8.508622,0.683265
delta_sdr,ML2,1.000000,4.765811,0.233143
delta_sdr,ML2,3.000000,7.749590,0.388180
delta_sdr,ML2,5.000000,8.558242,0.447273
delta_sdr,ML2,7.000000,8.958153,0.509139
delta_pesq,Baseline,1.000000,0.271471,0.032213
delta_pesq,Baseline,3.000000,0.995810,0.084600
delta_pesq,Baseline,5.000000,1.569098,0.082880
delta_pesq,Baseline,7.000000,1.825374,0.107864
delta_pesq,Dynamic,1.000000,0.267044,0.028183
delta_pesq,Dynamic,3.000000,1.008052,0.065432
delta_pesq,Dynamic,5.000000,1.566275,0.077238
delta_pesq,Dynamic,7.000000,1.831184,0.099941
delta_pesq,ML2,1.000000,0.311098,0.024042
delta_pesq,ML2,3.000000,1.049292,0.050846
delta_pesq,ML2,5.000000,1.594780,0.089765
delta_pesq,ML2,7.000000,1.812791,0.094896
cycles,Baseline,1.000000,274091.070000,8374.182469
cycles,Baseline,3.000000,363274.480000,10876.775284
cycles,Baseline,5.000000,403648.940000,9703.894550
cycles,Baseline,7.000000,425734.960000,8352.340129
cycles,Dynamic,1.000000,194001.430000,5286.288645
cycles,Dynamic,3.000000,252957.500000,6871.225780
cycles,Dynamic,5.000000,278712.660000,6016.751851
cycles,Dynamic,7.000000,292384.650000,5110.247927
cycles,ML2,1.000000,124256.800000,3004.566034
cycles,ML2,3.000000,162147.700000,3796.921522
cycles,ML2,5.000000,178309.820000,3261.698739
cycles,ML2,7.000000,186633.720000,2757.178106
processing_time,Baseline,1.000000,67.539722,3.319935
processing_time,Baseline,3.000000,87.431075,3.380766
processing_time,Baseline,5.000000,94.313612,2.852222
processing_time,Baseline,7.000000,98.453628,2.218391
processing_time,Dynamic,1.000000,56.329263,2.076783
processing_time,Dynamic,3.000000,72.014059,2.558812
processing_time,Dynamic,5.000000,78.542867,1.248440
processing_time,Dynamic,7.000000,83.809000,5.337107
processing_time,ML2,1.000000,38.262701,1.419405
processing_time,ML2,3.000000,47.951179,0.603019
processing_time,ML2,5.000000,51.908436,0.382038
processing_time,ML2,7.000000,53.612897,0.433111
