metric,model,sdr_orig,mean,std
cycles,Baseline,1.000000,274091.070000,8374.182469
cycles,Baseline,3.000000,363274.480000,10876.775284
cycles,Baseline,5.000000,403648.940000,9703.894550
cycles,Baseline,7.000000,425734.960000,8352.340129
cycles,Dynamic,1.000000,194001.430000,5286.288645
cycles,Dynamic,3.000000,252957.500000,6871.225780
cycles,Dynamic,5.000000,278712.660000,6016.751851
cycles,Dynamic,7.000000,292384.650000,5110.247927
cycles,ML2,1.000000,124256.800000,3004.566034
cycles,ML2,3.000000,162147.700000,3796.921522
cycles,ML2,5.000000,178309.820000,3261.698739
cycles,ML2,7.000000,186633.720000,2757.178106
