metric,model,sdr_orig,relative_improvement_pct
delta_sdr,Dynamic,1.0000,-4.9403
delta_sdr,Dynamic,3.0000,0.9853
delta_sdr,Dynamic,5.0000,1.0335
delta_sdr,Dynamic,7.0000,1.4989
delta_sdr,ML2,1.0000,-5.5041
delta_sdr,ML2,3.0000,5.0967
delta_sdr,ML2,5.0000,6.6716
delta_sdr,ML2,7.0000,6.8614
delta_pesq,Dynamic,1.0000,-1.6309
delta_pesq,Dynamic,3.0000,1.2293
delta_pesq,Dynamic,5.0000,-0.1799
delta_pesq,Dynamic,7.0000,0.3183
delta_pesq,ML2,1.0000,14.5970
delta_pesq,ML2,3.0000,5.3707
delta_pesq,ML2,5.0000,1.6368
delta_pesq,ML2,7.0000,-0.6893
processing_time,Dynamic,1.0000,-16.5983
processing_time,Dynamic,3.0000,-17.6333
processing_time,Dynamic,5.0000,-16.7216
processing_time,Dynamic,7.0000,-14.8746
processing_time,ML2,1.0000,-43.3479
processing_time,ML2,3.0000,-45.1555
processing_time,ML2,5.0000,-44.9619
processing_time,ML2,7.0000,-45.5450
