sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,319542.85,39087.383013845436,Baseline,4.0,cycles
4.0,374994.5,38417.64604901461,Baseline,4.0,cycles
6.0,405011.5,36222.746579143364,Baseline,4.0,cycles
8.0,422822.6,35359.193329093505,Baseline,4.0,cycles
2.0,224647.7,24810.819550094842,Dynamic,4.0,cycles
4.0,260619.4,24302.386221153374,Dynamic,4.0,cycles
6.0,279688.75,22832.62569651963,Dynamic,4.0,cycles
8.0,290534.2,22300.408791627204,Dynamic,4.0,cycles
2.0,253.0,0.0,ML1,4.0,cycles
4.0,253.0,0.0,ML1,4.0,cycles
6.0,253.0,0.0,ML1,4.0,cycles
8.0,253.0,0.0,ML1,4.0,cycles
2.0,144013.9,18554.638239534605,ML2,4.0,cycles
4.0,167009.3,18665.45325376325,ML2,4.0,cycles
6.0,178848.8,18095.876734770274,ML2,4.0,cycles
8.0,185647.4,17858.797010820304,ML2,4.0,cycles
