sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,7.395977125928683,1.7132786785145657,Baseline,4.0,delta_sdr
4.0,8.452183563317625,1.8444538888775461,Baseline,4.0,delta_sdr
6.0,8.86643247696352,2.175922847426364,Baseline,4.0,delta_sdr
8.0,9.239643501974669,2.583148521282152,Baseline,4.0,delta_sdr
2.0,7.433036928300277,1.7150829172297684,Dynamic,4.0,delta_sdr
4.0,8.602078602096666,1.774424011967678,Dynamic,4.0,delta_sdr
6.0,9.11027293725861,2.0945578576603627,Dynamic,4.0,delta_sdr
8.0,9.59735737241542,2.3002326971190925,Dynamic,4.0,delta_sdr
2.0,5.971029114893787,1.3420597105026595,ML1,4.0,delta_sdr
4.0,6.583443396124397,1.2032634565285143,ML1,4.0,delta_sdr
6.0,6.401480774329306,1.1041877557204927,ML1,4.0,delta_sdr
8.0,6.077564308011555,0.9517210188413671,ML1,4.0,delta_sdr
2.0,7.298391752459645,1.5369699797710605,ML2,4.0,delta_sdr
4.0,8.833920430596152,1.491603029558557,ML2,4.0,delta_sdr
6.0,9.257460230906409,1.4219046068874917,ML2,4.0,delta_sdr
8.0,9.551513265759663,1.3820216781496029,ML2,4.0,delta_sdr
