sdr_orig_rounded,mean,std,Model,Duration,Metric
2.0,0.633656895160675,0.2673797259809775,Baseline,4.0,delta_pesq
4.0,1.339289367198944,0.3276623711608659,Baseline,4.0,delta_pesq
6.0,1.6484464704990387,0.4652389148140055,Baseline,4.0,delta_pesq
8.0,1.7230805575847625,0.5306473743688533,Baseline,4.0,delta_pesq
2.0,0.6193808853626251,0.24470291377142966,Dynamic,4.0,delta_pesq
4.0,1.3286081910133363,0.32797128794037145,Dynamic,4.0,delta_pesq
6.0,1.6345419347286225,0.4564598419094131,Dynamic,4.0,delta_pesq
8.0,1.7219416141510009,0.5115281699914124,Dynamic,4.0,delta_pesq
2.0,0.6205040335655212,0.18079960249065416,ML1,4.0,delta_pesq
4.0,0.7894143700599671,0.24576880532230075,ML1,4.0,delta_pesq
6.0,0.8439412593841553,0.21675218271309604,ML1,4.0,delta_pesq
8.0,0.8342491567134858,0.26989157643806677,ML1,4.0,delta_pesq
2.0,0.681132185459137,0.22027835163574236,ML2,4.0,delta_pesq
4.0,1.3574131786823274,0.3344343803400026,ML2,4.0,delta_pesq
6.0,1.643021559715271,0.4550918423440211,ML2,4.0,delta_pesq
8.0,1.7090652525424956,0.5175092083051864,ML2,4.0,delta_pesq
