metric,fold,Model,sdr_orig,mean,std,Duration,Metric
delta_pesq,fold_1,Baseline,2.000000,0.606827,0.282327,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,4.000000,1.311898,0.480587,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,6.000000,1.709700,0.330920,4.000000,delta_pesq
delta_pesq,fold_1,Baseline,8.000000,1.807662,0.284216,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,2.000000,0.616385,0.313765,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,4.000000,1.311169,0.450960,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,6.000000,1.729763,0.337453,4.000000,delta_pesq
delta_pesq,fold_1,Dynamic,8.000000,1.828177,0.273814,4.000000,delta_pesq
delta_pesq,fold_1,ML1,2.000000,0.632956,0.182249,4.000000,delta_pesq
delta_pesq,fold_1,ML1,4.000000,0.770563,0.209488,4.000000,delta_pesq
delta_pesq,fold_1,ML1,6.000000,0.854742,0.192634,4.000000,delta_pesq
delta_pesq,fold_1,ML1,8.000000,0.851541,0.183309,4.000000,delta_pesq
delta_pesq,fold_1,ML2,2.000000,0.709405,0.323342,4.000000,delta_pesq
delta_pesq,fold_1,ML2,4.000000,1.418081,0.396901,4.000000,delta_pesq
delta_pesq,fold_1,ML2,6.000000,1.745495,0.299292,4.000000,delta_pesq
delta_pesq,fold_1,ML2,8.000000,1.823478,0.290109,4.000000,delta_pesq
cycles,fold_1,Baseline,2.000000,319542.850000,39087.383014,4.000000,cycles
cycles,fold_1,Baseline,4.000000,374994.500000,38417.646049,4.000000,cycles
cycles,fold_1,Baseline,6.000000,405011.500000,36222.746579,4.000000,cycles
cycles,fold_1,Baseline,8.000000,422822.600000,35359.193329,4.000000,cycles
cycles,fold_1,Dynamic,2.000000,224647.700000,24810.819550,4.000000,cycles
cycles,fold_1,Dynamic,4.000000,260619.400000,24302.386221,4.000000,cycles
cycles,fold_1,Dynamic,6.000000,279688.750000,22832.625697,4.000000,cycles
cycles,fold_1,Dynamic,8.000000,290534.200000,22300.408792,4.000000,cycles
cycles,fold_1,ML1,2.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,4.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,6.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML1,8.000000,253.000000,0.000000,4.000000,cycles
cycles,fold_1,ML2,2.000000,144013.900000,18554.638240,4.000000,cycles
cycles,fold_1,ML2,4.000000,167009.300000,18665.453254,4.000000,cycles
cycles,fold_1,ML2,6.000000,178848.800000,18095.876735,4.000000,cycles
cycles,fold_1,ML2,8.000000,185647.400000,17858.797011,4.000000,cycles
delta_sdr,fold_1,Baseline,2.000000,6.858944,1.386616,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,4.000000,7.549520,1.602198,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,6.000000,7.995818,1.854373,4.000000,delta_sdr
delta_sdr,fold_1,Baseline,8.000000,8.011959,2.217591,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,2.000000,6.848192,1.407245,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,4.000000,7.706246,1.537795,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,6.000000,8.137172,1.813203,4.000000,delta_sdr
delta_sdr,fold_1,Dynamic,8.000000,8.195012,2.219830,4.000000,delta_sdr
