sdr_orig_rounded,mean,std,Dataset,Model,Duration,Metric
1.0,9.406206080913543,2.5640258381961853,Bird,Baseline,1.0,processing_time
3.0,10.795919437408447,2.30871894797215,Bird,Baseline,1.0,processing_time
5.0,11.002735147476196,1.7660391213895954,Bird,Baseline,1.0,processing_time
7.0,11.699877808094024,1.9925292159490224,Bird,Baseline,1.0,processing_time
1.0,10.51685962677002,2.5288544227821097,Bird,Dynamic,1.0,processing_time
3.0,11.574893107414246,2.113603805295145,Bird,Dynamic,1.0,processing_time
5.0,11.68339689731598,1.766476002759391,Bird,Dynamic,1.0,processing_time
7.0,12.155378363132478,1.8843799908917933,Bird,Dynamic,1.0,processing_time
1.0,3.103968737125397,1.5030655201094925,Heart,Baseline,1.0,processing_time
3.0,4.17449639081955,2.0067554026564367,Heart,Baseline,1.0,processing_time
5.0,4.5272717809677125,1.9878849922690232,Heart,Baseline,1.0,processing_time
7.0,4.61781069278717,1.897633369526384,Heart,Baseline,1.0,processing_time
1.0,3.0595552206039427,1.4054964050330987,Heart,Dynamic,1.0,processing_time
3.0,3.8619305539131163,1.429555521501594,Heart,Dynamic,1.0,processing_time
5.0,3.8976533341407777,1.1703992720318646,Heart,Dynamic,1.0,processing_time
7.0,4.286920695304871,1.4991521849809142,Heart,Dynamic,1.0,processing_time
1.0,2.6928106647856693,1.3642861615324464,Lung,Baseline,1.0,processing_time
3.0,3.5580470130798663,1.7436083008064098,Lung,Baseline,1.0,processing_time
5.0,3.7182720062580517,1.7297158298934006,Lung,Baseline,1.0,processing_time
7.0,4.246328840864465,1.932310105540923,Lung,Baseline,1.0,processing_time
1.0,2.96474459577114,1.377990377550016,Lung,Dynamic,1.0,processing_time
3.0,4.111501412188753,2.045615337324392,Lung,Dynamic,1.0,processing_time
5.0,4.529227901012339,2.1295886098743466,Lung,Dynamic,1.0,processing_time
7.0,4.757470201938711,2.2456751445725827,Lung,Dynamic,1.0,processing_time
1.0,29.730987827777863,7.700126625215855,Speech,Baseline,1.0,processing_time
3.0,30.0952956533432,6.791323665902649,Speech,Baseline,1.0,processing_time
5.0,25.033858060836792,4.412205483944389,Speech,Baseline,1.0,processing_time
7.0,25.266888787746428,4.402426614972228,Speech,Baseline,1.0,processing_time
1.0,22.52685599565506,5.220258042613486,Speech,Dynamic,1.0,processing_time
3.0,25.317835931777953,4.8167622607933716,Speech,Dynamic,1.0,processing_time
5.0,21.447384622097015,4.070524510937165,Speech,Dynamic,1.0,processing_time
7.0,21.36100473165512,3.4355152488811473,Speech,Dynamic,1.0,processing_time
