Dataset,Input SDR (dB),Sampling Rate (Hz),Mean ΔSDR (dB),Std ΔSDR (dB)
Bird,1.0,1378,-0.1741142145479713,1.259291659434724
Bird,3.0,1378,-1.3967714950047456,2.589146360681001
Bird,5.0,1378,-3.085732908231021,3.137859309884208
Bird,7.0,1378,-4.739064885711728,3.8886508854269293
Bird,1.0,2756,0.1748854021452898,1.3562111879941374
Bird,3.0,2756,-0.6369707895325633,2.927346268329549
Bird,5.0,2756,-2.092644881318809,3.7314929608800753
Bird,7.0,2756,-3.7017616127826085,4.3649337988668835
Bird,1.0,5512,0.9322683558902334,1.4892876976144693
Bird,3.0,5512,1.1310603697521133,3.575245743062101
Bird,5.0,5512,0.08023010242442946,4.3941247632509235
Bird,7.0,5512,-1.2293470546627128,5.142974209978029
Bird,1.0,11025,2.7034655588049783,0.9864965669685659
Bird,3.0,11025,6.054348275854062,3.031525669458132
Bird,5.0,11025,6.622658521837187,3.4886287902826427
Bird,7.0,11025,6.975230413831935,4.022544464647366
Heart,1.0,250,1.1719670355193725,0.6969337980780537
Heart,3.0,250,1.8169832448186725,1.582391339883132
Heart,5.0,250,1.685061418189748,2.113121845536957
Heart,7.0,250,1.5316912620506036,2.684607257723687
Heart,1.0,500,1.9344593737286901,0.7284390994620341
Heart,3.0,500,3.917989074905423,2.2351665801318044
Heart,5.0,500,4.681821410861431,3.235052291665518
Heart,7.0,500,5.1498245415244845,3.825941136215676
Heart,1.0,1000,2.6139479353883384,0.8368385522593489
Heart,3.0,1000,5.9503345408338255,2.909357134503439
Heart,5.0,1000,6.892882781883101,4.363208781623508
Heart,7.0,1000,7.174357640504755,5.193564389469649
Heart,1.0,2000,3.130082547216393,1.0103277266134383
Heart,3.0,2000,7.275710222368922,3.584253576969641
Heart,5.0,2000,8.13857152461402,4.924570635350454
Heart,7.0,2000,8.751819345319358,5.668733637042616
Lung,1.0,500,3.0057302871989173,0.8330654040247883
Lung,3.0,500,4.72573436773541,2.355221805363797
Lung,5.0,500,5.101950363746989,3.0308939600828237
Lung,7.0,500,4.849357992220264,3.5701387279547343
Lung,1.0,1000,3.3937337534307455,0.8198038351694421
Lung,3.0,1000,6.168235149947523,2.1330955743645306
Lung,5.0,1000,6.197294306589867,2.691615517697096
Lung,7.0,1000,6.023196207417972,3.288386966202168
Lung,1.0,2000,3.5949258064839067,0.8458221357930623
Lung,3.0,2000,6.654965115097204,1.90243243965543
Lung,5.0,2000,7.319546026365099,2.6293997730060537
Lung,7.0,2000,7.40612356701229,3.1323961487375467
Lung,1.0,4000,3.25564223915209,1.0069739714894228
Lung,3.0,4000,6.473789199071867,1.910180221222372
Lung,5.0,4000,7.83293939511328,2.547344326305485
Lung,7.0,4000,8.523155353768521,2.910891359737209
Speech,1.0,2000,1.699403395179981,1.0473420879887563
Speech,3.0,2000,1.5201911478580352,1.788554353262642
Speech,5.0,2000,-0.3919122127342858,2.0317972038474035
Speech,7.0,2000,-1.7087442935512138,2.426567854721766
Speech,1.0,4000,2.855689259460927,1.7333789535153652
Speech,3.0,4000,2.852504594004043,2.5524335017795696
Speech,5.0,4000,2.71933459651752,3.353039889967726
Speech,7.0,4000,1.8135625313165138,3.948606878961787
Speech,1.0,8000,3.9160210309825136,1.5734115431583464
Speech,3.0,8000,5.622814450660123,3.153395008775299
Speech,5.0,8000,5.821345237662886,3.6812454381789466
Speech,7.0,8000,5.050224564055044,4.002145185011733
Speech,1.0,16000,5.09273555977082,1.7810642969868062
Speech,3.0,16000,8.147405387255608,3.177680803012147
Speech,5.0,16000,8.658891853290816,3.438550480666348
Speech,7.0,16000,9.355707072979246,3.9605654125422176
