Dataset,Input SDR (dB),Sampling Rate (Hz),Mean Processing Time (s),Std Processing Time (s)
Bird,1.0,1378,0.8311269664764405,0.42138408833576996
Bird,3.0,1378,1.1455287098884583,0.4903719967742582
Bird,5.0,1378,1.2895982575416565,0.5135261737184458
Bird,7.0,1378,1.3369916772842407,0.5316833681030474
Bird,1.0,2756,1.7225680565834045,0.6760819373729077
Bird,3.0,2756,2.178325958251953,0.6903488910327942
Bird,5.0,2756,2.388231372833252,0.6777836942911682
Bird,7.0,2756,2.572648894786835,0.6645119983548453
Bird,1.0,5512,3.4280817317962646,0.9340749564327421
Bird,3.0,5512,4.036203093528748,0.8499548591122107
Bird,5.0,5512,4.439826126098633,0.7558248523261406
Bird,7.0,5512,4.708903272151947,0.7463793736073652
Bird,1.0,11025,6.39224868774414,1.3785364206865653
Bird,3.0,11025,8.005268812179565,1.1720602046340147
Bird,5.0,11025,8.59886364221573,0.972187566362848
Bird,7.0,11025,8.887321157455444,0.9726686178385322
Heart,1.0,250,1.0649404048919677,0.33440759571158446
Heart,3.0,250,1.1884697890281677,0.30808099614337253
Heart,5.0,250,1.2224715113639832,0.38301849034440194
Heart,7.0,250,1.2475641775131225,0.4067518166754174
Heart,1.0,500,1.3318602156639099,0.40673308313073986
Heart,3.0,500,1.498974871635437,0.45656809886859345
Heart,5.0,500,1.623304603099823,0.4851779280511616
Heart,7.0,500,1.637597939968109,0.47878532621999165
Heart,1.0,1000,1.718070514202118,0.5230566940070842
Heart,3.0,1000,2.0991489768028258,0.6072527942189646
Heart,5.0,1000,2.1503517484664916,0.543274512197483
Heart,7.0,1000,2.2360515332221986,0.5087696478352324
Heart,1.0,2000,2.384975004196167,0.8219128799551001
Heart,3.0,2000,3.1173584413528443,0.8913532157642101
Heart,5.0,2000,3.37225102186203,0.787546893342126
Heart,7.0,2000,3.4083063888549803,0.7739278156284447
Lung,1.0,500,1.3351883659971522,0.5464508204190129
Lung,3.0,500,1.561799186341306,0.5029330784314004
Lung,5.0,500,1.6644972258425774,0.6275655535101401
Lung,7.0,500,1.6269046981283959,0.5096906860543553
Lung,1.0,1000,1.5400740948129208,0.4216988149419617
Lung,3.0,1000,2.027226115794892,0.593534840009437
Lung,5.0,1000,2.2134656246672284,0.5946172017379322
Lung,7.0,1000,2.269920146211665,0.5640939620645071
Lung,1.0,2000,2.04939962194321,0.7457318078461491
Lung,3.0,2000,2.6497795404271876,0.873793450834256
Lung,5.0,2000,2.9639947439761873,0.7951603057848858
Lung,7.0,2000,3.009702444076538,0.8321469209740859
Lung,1.0,4000,2.0712417922121413,0.8307567384598041
Lung,3.0,4000,2.9436060367746557,1.2437634667109005
Lung,5.0,4000,3.038610841365571,1.2469330326594865
Lung,7.0,4000,3.148250683825067,1.1668375034144598
Speech,1.0,2000,3.8903600374857583,0.3741655497522499
Speech,3.0,2000,4.315140724182129,0.3174365039743662
Speech,5.0,2000,4.6346363226572675,0.298629252567403
Speech,7.0,2000,4.545208056767781,0.3587840552425411
Speech,1.0,4000,6.2563891569773356,0.5887203746926541
Speech,3.0,4000,7.316568247477213,0.6553757941415999
Speech,5.0,4000,7.463505903879802,0.5966590831489621
Speech,7.0,4000,7.591035238901774,0.5576351664227653
Speech,1.0,8000,10.906576681137086,1.2499833695867921
Speech,3.0,8000,12.610781669616701,1.4310092942669788
Speech,5.0,8000,13.05186225573222,1.34805775143871
Speech,7.0,8000,13.367277367909749,1.2392778816818886
Speech,1.0,16000,18.09950812657674,2.3823468827203325
Speech,3.0,16000,21.483075602849325,2.98820938701468
Speech,5.0,16000,22.976189041137694,2.9336349906558516
Speech,7.0,16000,24.08230948448181,2.722877340623317
